Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
Salade de chèvre chaud,50,g,Salade verte,Primeur ou producteur,"Dans un saladier, mélangez l’huile d’olive avec le vinaigre, la moutarde, la gousse d’ail coupée en petits morceaux, le sel et le poivre.

Lavez la salade, la disposer dans le saladier et mélangez. Choisissez votre salade en fonction de la saison (chicorée en automne et en hiver, le cresson et la mâche en automne, en hiver et au printemps, la laitue au printemps et en été).

Faites griller les tranches de pain sur le feu à l'aide d'une grille.

Posez le fromage de chèvre sur une tranche de pain. Versez une goutte d’huile d’olive sur chaque toast. Les placer sur une grille sur le feu pendant 2 minutes.","Dans la salade, vous pouvez rajouter des noix, des amandes ou des mélanges de fruits secs et de noix !",Calories,"470,3415913",kcal,,1 Oignon,150 g,Calories,"58,5",kcal,,"L'ensemble des données de ce tableau proviennent de la base de données de l'ANSES (Agence Nationale de Sécurité Sanitaire) via le site www.ciqual.anses.fr, ou via les sources mises en commentaires.

Les garnitures ne sont pas prises en compte dans le calcul des apports nutritifs, et les fruits locaux, de saison ou abimés, ainsi que les légumes de saison, ne sont pas non plus pris en compte, les apports nutritifs de chacun étant très spécifiques et dépendant donc de ce que vous choisissez.

Les apports nutritifs des jus de fruits frais sont ceux d'un jus d'orange fait-maison, ceux des fruits frais, des brochettes de fruits et des pâtes de fruits sont ceux d'une pomme Golden, ceux du fromage local sont ceux de l'emmental, ceux des haricots blancs ou rouges sont ceux des haricots rouges et ceux des croquettes sont calculés avec du poisson.",,,,,,,,,,,,,,Boules d'énergie,,,,Primeur ou producteur
,50,g,Fromage de chèvre,Fromagerie,,,Protéines,"19,24171528",g,,,,Protéines,"1,65",g,,,,,,,,,,,,,,,,Compote de fruit fait-maison,,,,Fromagerie
,1,tranches,Pain de mie,Boulanger,,,Lipides,"32,69482609",g,,,,Lipides,"0,93",g,,,,,,,,,,,,,,,,Crêpes,,,,Boulangerie
,"0,833333",c. à s. ,Huile d'olive,Épicerie,,,Glucides,"23,3981658",g,,,,Glucides,"9,375",g,,,,,,,,,,,,,,,,Pâte à tartiner fait-maison,,,,Boucherie
,"0,5",c. à s. ,Vinaigre,Épicerie,,,Calcium,"520,607066",mg,,,,Calcium,"37,5",mg,,,,,,,,,,,,,,,,Biscuits et gâteaux,,,,Poissonnerie
,"0,16666667",,Gousses d'ail,Primeur ou producteur,,,Vitamines C,"1,175833276",mg,,,,Vitamines C,"5,85",mg,,,,,,,,,,,,,,,,Fruits frais,,,,
,"0,83333335",c. à c.,Moutarde,Épicerie,,,,,,,1 c. à s. Huile d'olive,15 g,Calories,135,kcal,,,,,,,,,,,,,,,,Gâteau cuit au feu,,,,OUI
,,,Sel & Poivre,Épicerie,,,,,,,,,Protéines,0,g,,,,,,,,,,,,,,,,Riz au lait,,,,NON
Taboulé fait maison,50,g,Semoule,Épicerie,"Mettez le couscous dans un saladier et couvrez-le d'eau froide. Laissez reposer une demi-heure en soulevant de temps en temps les graines à la fourchette pour aérer le couscous. Lorsque l'eau a été complètement absorbée par le couscous, arrosez-le de jus de citron et assaisonnez, mélangez à la fourchette.

Lavez les tomates, les épépiner, et épluchez le concombre, puis coupez-les en petits dés. Épluchez les oignons et émincez les finement. Ajoutez-le tout au couscous, arrosez d'huile d'olive, mélangez.

Pour finir, hachez finement les herbes au couteau et les ajoutez à la salade, mélangez bien. Rectifiez l'assaisonnement si nécessaire et placez le tout au frais au moins 2 heures.","N'hésitez pas à rajouter des poivrons marinés, des olives ou des garnitures locales dans votre taboulé !",Calories,"357,435",kcal,,,,Lipides,15,g,,,,,,,,,,,,,,,,Fromage blanc/faisselle avec garnitures,,,,
,1,,Tomates,Primeur ou producteur,,,Protéines,"9,8645",g,,,,Glucides,0,g,,,,,,,,,,,,,,,,Yaourt,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Lipides,"13,017",g,,,,Calcium,"0,3855",mg,,,,,,,,,,,,,,,,Rose des sables,,,,
,"0,25",,Concombres,Primeur ou producteur,,,Glucides,"45,12125",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,Pain d'épice,,,,
,"0,75",c. à s. ,Huile d'olive,Épicerie,,,Calcium,"183,004125",mg,,1 c. à s. Vinaigre,14 g,Calories,"17,5",kcal,,,,,,,,,,,,,,,,Pain trappeur avec garnitures,,,,
,"0,25",bouquets,Persil plat,Épicerie,,,Vitamines C,"82,9925",mg,,,,Protéines,"0,0966",g,,,,,,,,,,,,,,,,Pain avec garnitures,,,,
,"0,25",bouquets,Coriandre fraîche,Primeur ou producteur,,,,,,,,,Lipides,"0,084",g,,,,,,,,,,,,,,,,Brioche avec garnitures,,,,
,2,tiges,Menthe,Primeur ou producteur,,,,,,,,,Glucides,"3,87",g,,,,,,,,,,,,,,,,Gaufres,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Calcium,"2,7",mg,,,,,,,,,,,,,,,,Pudding revisité avec garnitures,,,,
Salade de betterave,"0,666666667",,Betteraves rouges,Primeur ou producteur,"Si vous optez pour de la betterave crue, faites cuire les betteraves rouges dans une casserole d'eau bouillante salée pendant 45 minutes. À la fin de la cuisson, égouttez les betteraves rouges cuites et laissez-les reposer pendant 15 minutes. Épluchez ensuite les betteraves rouges cuites et coupez-les en petits cubes. Réservez.

Pelez et hachez finement les échalotes. Nettoyez et séchez le persil plat. Ciselez-le finement aussi. Dans un saladier, mélangez l'huile d'olive avec le vinaigre de vin et le jus de citron. Salez et poivrez à votre goût puis remuez. Ajoutez alors les dés de betteraves rouges cuites, l'échalote hachée et le persil ciselé puis mélangez bien le tout. Placez la salade de betteraves rouges au frais jusqu'à la dégustation.","Présentez joliment la salade dans le saladier : mettez joliment la vinaigrette et le persil ciselé à la fin, au-dessus de la salade !",Calories,"183,3700005",kcal,,,,Vitamines C,"0,07",mg,,,,,,,,,,,,,,,,Granola fait maison,,,,
,"0,5",,Échalotes,Primeur ou producteur,,,Protéines,"4,785400018",g,,Salade verte,100 g,Calories,"13,5",kcal,,,,,,,,,,,,,,,,Chocolat chaud,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Lipides,"8,086150002",g,,,,Protéines,"1,01",g,,,,,,,,,,,,,,,,Thé,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Glucides,"20,18350009",g,,,,Lipides,"0,1",g,,,,,,,,,,,,,,,,Smoothies,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,Calcium,"96,05275019",mg,,,,Glucides,"1,5",g,,,,,,,,,,,,,,,,Jus de fruits frais,,,,
,"0,25",bouquets,Persil plat,Primeur ou producteur,,,Vitamines C,"52,50425004",mg,,,,Calcium,"35,3",mg,,,,,,,,,,,,,,,,Taboulé fait maison,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Vitamines C,"1,95",mg,,,,,,,,,,,,,,,,Salade de chèvre chaud,,,,
